Designator,Footprint,Center-X(mil),Center-Y(mil),Ref-X(mil),Ref-Y(mil),Pad-X(mil),Pad-Y(mil),Layer,Rotation,Comment
U8,SOT-23-5,1540.945,790,1540.945,790,1596.063,752.598,TopLayer,0,TPS72325
U7,SOT-23-5,1181.709,388.622,1181.709,388.622,1126.591,426.024,TopLayer,180,TPS73225
U6,SOT-23-5,1181.709,600.118,1181.709,600.118,1236.827,562.717,TopLayer,0,TPS60403
U5,H0505S,3715,1565,3615,1665,3715,1865,TopLayer,270,H0505S-2W
U4,SOIC-16_150mil,3120.669,2562.142,3120.669,2562.142,2945.669,2459.779,TopLayer,360,CH340G
U3,LQFP-144_20x20x05P,2428.425,1778.451,2428.425,1778.451,2083.937,1363.097,TopLayer,0,STM32F429ZGT6
U2,SOT-23-5,855,1010,855,1010,799.882,1047.401,TopLayer,180,OPA376DBV
U1,ADS1299,1126.024,1719.553,1334.803,1982.191,889.803,1867.191,TopLayer,270,ADS1299
S1,key_4.5*4.5*3.8,3824.055,2781.89,3765,2663.78,3765,2663.78,TopLayer,90,SW-PB
R38,0603_R,2050,2810.433,2050,2810.433,2050,2840.748,TopLayer,270,1K次 (1001) ㊣1%
R37,0603_R,2355,2810.433,2355,2810.433,2355,2780.118,TopLayer,90,1K次 (1001) ㊣1%
R36,0603_R,2655,2810.433,2655,2810.433,2655,2840.748,TopLayer,270,1K次 (1001) ㊣1%
R35,0603_R,2327.5,2668.897,2327.5,2668.897,2297.185,2668.897,TopLayer,360,10K次
R34,0603_R,2970,1568.766,2970,1568.766,3000.315,1568.766,TopLayer,180,10K
R33,0603_R,1860,1558.962,1860,1558.962,1829.685,1558.962,TopLayer,360,10K
R32,0603_R,3085,1088.766,3085,1088.766,3085,1119.081,TopLayer,270,10次 (10R0) ㊣1%
R31,0603_R,3090,885.144,3090,885.144,3090,915.459,TopLayer,270,10次 (10R0) ㊣1%
R30,0603_R,3615,2639.567,3615,2639.567,3615,2609.252,TopLayer,90,10K
R29,0603_R,2360,885.144,2360,885.144,2360,854.829,TopLayer,90,1M次
R28,0603_R,3369.685,1099.685,3369.685,1099.685,3339.37,1099.685,TopLayer,360,1K次
R27,0603_R,3285,1408.333,3285,1408.333,3254.685,1408.333,TopLayer,360,510次
R26,0603_R,3290,1753.018,3290,1753.018,3259.685,1753.018,TopLayer,360,510次
R25,0603_R,1859.685,1453.648,1859.685,1453.648,1829.37,1453.648,TopLayer,360,0次
R24,0603_R,429.921,2559.002,429.921,2559.002,399.606,2559.002,TopLayer,360,4.99K次
R23,0603_R,429.921,2336.246,429.921,2336.246,399.606,2336.246,TopLayer,360,4.99K次
R22,0603_R,429.921,2447.624,429.921,2447.624,399.606,2447.624,TopLayer,360,4.99K次
R21,0603_R,429.921,2224.868,429.921,2224.868,399.606,2224.868,TopLayer,0,4.99K次
R20,0603_R,429.921,2113.49,429.921,2113.49,399.606,2113.49,TopLayer,360,4.99K次
R19,0603_R,429.921,1890.734,429.921,1890.734,399.606,1890.734,TopLayer,0,4.99K次
R18,0603_R,429.921,2002.112,429.921,2002.112,399.606,2002.112,TopLayer,0,4.99K次
R17,0603_R,429.921,1779.356,429.921,1779.356,399.606,1779.356,TopLayer,0,4.99K次
R16,0603_R,1664.685,1662.5,1664.685,1662.5,1634.37,1662.5,TopLayer,0,10K次
R15,0603_R,429.921,1667.978,429.921,1667.978,399.606,1667.978,TopLayer,0,4.99K次
R14,0603_R,429.921,1445.223,429.921,1445.223,399.606,1445.223,TopLayer,0,4.99K次
R13,0603_R,1664.685,1760,1664.685,1760,1695,1760,TopLayer,180,10K次
R12,0603_R,429.921,1556.601,429.921,1556.601,399.606,1556.601,TopLayer,0,4.99K次
R11,0603_R,429.921,1333.845,429.921,1333.845,399.606,1333.845,TopLayer,0,4.99K次
R10,0603_R,429.921,1222.467,429.921,1222.467,399.606,1222.467,TopLayer,0,4.99K次
R9,0603_R,429.921,999.711,429.921,999.711,399.606,999.711,TopLayer,0,4.99K次
R8,0603_R,429.921,1111.089,429.921,1111.089,399.606,1111.089,TopLayer,0,4.99K次
R7,0603_R,429.921,888.333,429.921,888.333,399.606,888.333,TopLayer,0,4.99K次
R6,0603_R,846.811,2470.552,846.811,2470.552,816.496,2470.552,TopLayer,360,100K次
R5,0603_R,1322.362,2383.885,1322.362,2383.885,1352.677,2383.885,TopLayer,180,10K次
R4,0603_R,1001.811,2383.885,1001.811,2383.885,1032.126,2383.885,TopLayer,180,0次
R3,0603_R,1001.811,2470.552,1001.811,2470.552,971.496,2470.552,TopLayer,360,391K次
R2,0603_R,230.551,2203.451,230.551,2203.451,230.551,2233.766,TopLayer,270,4.99K次 (4991) ㊣1%
R1,0603_R,1664.685,1565,1664.685,1565,1634.37,1565,TopLayer,0,0次
Q2,SOT-23(SOT-23-3),2195.787,2812.323,2195.787,2812.323,2245,2774.921,TopLayer,0,SS8550 Y2
Q1,SOT-23(SOT-23-3),2505,2812.323,2505,2812.323,2554.213,2774.921,TopLayer,0,SS8050 Y1
P6,HDR2X5,2743.371,620.404,2943.371,670.404,2943.371,670.404,TopLayer,180,POWER_CON
P5,HDR1X6,2795,375,3045,375,3045,375,TopLayer,180,HC-05_CON
P4,HDR1X6,2095,375,1845,375,1845,375,TopLayer,360,ATK_ESP8266_CON
P3,MICRO-USB,3762.52,2420,3795,2420,3708.385,2368.818,TopLayer,90,USB
P2,HDR1X4,150,2665,150,2515,150,2515,TopLayer,90,SWD
P1,HDR2X10,185.551,1533.333,235.551,1083.333,235.551,1083.333,TopLayer,90,Header 10X2
L5,0805_L,1127.51,784.882,1127.51,784.882,1127.51,749.842,TopLayer,90,3.3uH㊣10%
